Nombre,Fecha de Aterrizaje,Fecha de Lanzamiento,Total de Fotos,Fecha Máxima,Estado
Curiosity,2012-08-06,2011-11-26,657777,2023-06-17,active
Opportunity,2004-01-25,2003-07-07,198439,2018-06-11,complete
Spirit,2004-01-04,2003-06-10,124550,2010-03-21,complete
